Filename,Ground_Truth,Classical_Pred,Classical_Time_ms,LSTM_Pred,LSTM_Time_ms,EasyOCR_Pred,EasyOCR_Time_ms,Classical_Correct,LSTM_Correct,EasyOCR_Correct
X51005724622.jpg,91.16,5.16,1308,5.16,835,891.16,2167,False,False,False
X51005724623.jpg,312.70,295.00,1724,312.70,847,312.70,1697,False,True,True
X51005724624.jpg,135.68,7.68,1375,128.00,829,135.68,1682,False,False,True
X51005724625.jpg,283.55,87.50,1352,16.05,952,960.00,1729,False,False,False
X51005724626.jpg,270.30,270.30,1268,15.30,829,318.00,1634,True,False,False
X51005724628.jpg,84.80,8.48,1692,4.80,864,108.00,1523,False,False,False
X51005741929.jpg,5.50,100.00,564,5.50,603,94.55,1041,False,True,False
X51005742110.jpg,65.70,65.70,823,61.99,486,242.58,906,True,False,False
X51005745213.jpg,7.00,5.01,2267,0.40,740,816.22,942,False,False,False
X51005745244.jpg,11.90,11.90,503,11.90,592,1.23,939,True,True,False
X51005745298.jpg,4.00,4.00,537,3.99,611,673.77,785,True,False,False
X51005746203.jpg,408.45,408.45,1026,408.45,985,834.40,2011,True,True,False
X51005746204.jpg,308.70,185.00,1834,308.70,551,308.70,925,False,True,True
X51005746206.jpg,105.00,99.05,568,105.00,641,99.06,1203,False,True,False
X51005746207.jpg,18.30,18.30,757,18.30,892,8.29,1665,True,True,False
X51005746210.jpg,145.10,145.09,726,145.10,922,145.40,1945,False,True,False
X51005749904.jpg,4.00,0.00,126,0.00,152,0.22,1185,False,False,False
X51005757233.jpg,9.95,10.00,3177,9.95,596,639.39,1100,False,True,False
X51005757282.jpg,24.50,72.46,1590,24.50,638,24.50,1336,False,True,True
X51005757292.jpg,6.60,6.60,510,0.37,575,0.00,1149,True,False,False
X51005757308.jpg,21.50,21.50,592,1.22,875,1.22,1632,True,False,False
X51005757342.jpg,6.20,4.20,472,0.35,635,200.20,1513,False,False,False
X51005763958.jpg,59.00,59.00,699,59.00,630,59.00,1507,True,True,True
X51005763964.jpg,65.70,61.99,1010,65.70,479,861.99,1113,False,True,False
X51005763999.jpg,674.00,674.00,718,474.00,830,673.99,1694,True,False,False
X51005764031.jpg,42.10,142.10,907,61.00,755,42.10,1461,False,False,True
X51005764154.jpg,205.50,0.00,553,205.50,701,711.63,1486,False,True,False
X51005764161.jpg,98.90,98.90,440,98.89,463,198.90,950,True,False,False
X51005806692.jpg,367.30,367.30,1380,367.30,942,920.79,2112,True,True,False
X51005806695.jpg,4.10,4.10,1178,37.04,574,6.00,1676,True,False,False
X51005806696.jpg,7.20,7.65,1033,7.65,504,42.50,925,False,False,False
X51005806718.jpg,40.80,38.49,1522,40.80,592,38.49,1354,False,True,False
X51005806719.jpg,63.00,59.43,2037,59.43,826,59.43,1872,False,False,False
X51005806720.jpg,20.00,76.31,2030,18.87,722,1.13,1168,False,False,False
X51006008081.jpg,226.60,169.00,1232,159.00,617,226.60,1107,False,False,True
X51006008082.jpg,204.20,11.56,3864,11.56,1010,204.20,1806,False,False,True
X51006008083.jpg,119.55,119.57,2055,119.57,775,119.55,1466,False,False,True
X51006008090.jpg,30.50,30.50,490,30.50,974,30.50,2518,True,True,True
X51006008092.jpg,30.70,30.88,561,30.70,870,5.18,2691,False,True,False
X51006008093.jpg,12.15,13.50,753,13.50,774,1.35,1674,False,False,False
X51006008105.jpg,65.10,65.10,571,65.10,604,61.46,1309,True,True,False
X51006008166.jpg,750.00,750.00,1147,750.00,603,750.00,1297,True,True,True
X51006008206.jpg,63.90,40.60,486,40.60,487,723.39,699,False,False,False
X51006248253.jpg,15.00,15.00,907,15.00,550,15.00,1484,True,True,True
X51006311714.jpg,22.45,22.45,1400,0.00,531,22.45,2195,True,False,True
X51006327953.jpg,68.90,65.00,438,100.00,523,65.00,1277,False,False,False
X51006327960.jpg,9.90,3.55,533,36.55,534,670.56,1358,False,False,False
X51006328345.jpg,7.20,10.00,562,2.40,456,670.41,1277,False,False,False
X51006328937.jpg,12.15,45.50,2264,12.15,647,0.00,1659,False,True,False
X51006328967.jpg,62.00,62.99,602,62.80,562,62.00,1367,False,False,True
X51006329183.jpg,27.00,3.00,884,27.00,849,52.00,1904,False,True,False
X51006329388.jpg,165.00,165.01,1843,185.00,489,165.00,1419,False,False,True
X51006332641.jpg,19.10,0.00,2040,46.10,452,50.10,1165,False,False,False
X51006334139.jpg,90.00,90.00,567,20.00,524,290.00,1559,True,False,False
X51006334742.jpg,167.55,167.55,724,167.56,581,167.55,2085,True,False,True
X51006334766.jpg,59.35,59.35,1070,56.00,581,3.36,1273,True,False,False
